image,generated_caption,references,CIDEr,CLIPScore,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L
2034553054_b00c166895.jpg,a man sitting on a table with a man in a blue shirt,a boy with a blue hat points towards a bowl full of cork ||| a child in medieval clothes points at something on a table ||| a child in period costume looking at a table with a bowl cup and a basket of apples ||| a young boy next to apples at a medieval fair ||| the child is sitting at the table with art supplies and apples,0.7842725620660235,0.4003302752971649,0.7692307692307693,0.5661385170722979,0.4438041154503415,0.3057690288450511,0.3626822157434402,0.3870967741935484
535309053_ec737abde8.jpg,a group of people sit in a camel in front of a camel,a campsite has been established amidst the trees and bushes ||| a campsite with tents and picnic tables ||| a group of people camp in tents near some trees ||| a woman at a campground ||| people are camping in a group,0.1366847724191668,0.4310081154108047,0.4615384615384615,0.3922322702763681,0.3035577449824848,0.2299751911289444,0.2985074626865671,0.4347826086956522
3315616181_15dd137e27.jpg,a man in a blue shirt is sitting on a bench,a man in a green shirt climbs an indoor climbing wall ||| a man in a green shirt is climbing an obstacle course ||| a teenage boy climbs an indoor climbing wall ||| a teenager climbs a rock wall ||| someone climbs an indoor climbing wall,0.3169005506892755,0.4361654072999954,0.5454545454545454,0.4670993664969138,0.3646436717285792,0.2790159393585827,0.4646464646464646,0.5454545454545454
2714703706_d21c5cb8df.jpg,a brown dog is running in the grass,dogs playing ||| a brown dog is biting a white and tan dog on the snout ||| the brown dog has a hold of the other dogs cheek with its teeth ||| two dogs are nuzzling each other nose to nose ||| two dogs bite at each other on the carpet,0.2377820608306019,0.4528788849711418,0.5515605641153721,0.4567355390249504,0.3944335504660706,0.3226013518927286,0.3846153846153847,0.4761904761904762
3433470650_a8b1c27173.jpg,a man in a red shirt is standing in front of a building,a group of men walk along a road divided with yellow ropes ||| a group of men walk on a street with yellow ribbon in front of a white and red building ||| a group of middle eastern men are walking down a street in front of a building ||| man in maroon turban standing in road while people walk past ||| many people are walking down a road in both directions some are wearing turbans,0.5486291384663762,0.4536318406462669,0.8461538461538461,0.6504436355879909,0.4868359440837191,0.3897574951973983,0.4283114519693227,0.4827586206896552
1785138090_76a56aaabc.jpg,a man in a red shirt is standing on a bench,a female walking wearing a string bikini towards a man in a striped shirt ||| a woman in a skimpy bathing suit walks away ||| a woman in a swimsuit walks along the street next to three trees ||| a woman wearing a skimpy bathing suit is walking with a towel in a parking lot ||| three big trees and the back side of a girl in bikini,0.0992947195342256,0.4595936834812164,0.5810640921796215,0.3989624188222926,0.318461337968875,0.2464051103353782,0.3112327656123276,0.4
2765747519_2b851e01d6.jpg,a little girl in a blue shirt is sitting in a blue toy,a baby in a green bag peeks out ||| a child is mostly hidden in a green shopping bag ||| a child is sitting in a green tote bag with only its eyes and hair poking out ||| infant peers from a limegreen shopping bag ||| little baby is peeking out of a green grocery bag,0.1539277253085001,0.4678505659103393,0.4615384615384615,0.3396831102433787,0.2758005147606801,0.2140160303375297,0.3064320388349515,0.3478260869565217
3287963317_186491ee78.jpg,a man in a red jacket is standing in front of a mountain,a group poses for a picture in front of a frozen waterfall ||| four people crouched near an ice formation ||| four people sitting in the snow at the base of a frozen waterfall ||| there are four people dressed in warm clothes sitting in the snow in front of a huge piece of ice ||| two couples pose for a picture in the winter,0.1651915912060835,0.4717619344592094,0.5384615384615384,0.3668996928526714,0.290342538074532,0.2224246939793677,0.4648760330578512,0.48
2968216482_ede65b20a8.jpg,a man in a red shirt is riding a bike on a bike,a biker patiently waits as his friend bikes ahead of him ||| a man in a leather outfit prepares to ride a motorcycle ||| one motorcyclist speeds away from a parked motorcyclist along a drag strip ||| two men on motorcycles are driving down an empty street ||| two people in black leather ride motorcycles,0.0593145060520463,0.4773106798529625,0.4615384615384615,0.3396831102433787,0.2758005147606801,0.2140160303375297,0.380704365079365,0.4999999999999999
3304030264_da3dd18c7b.jpg,a man in a red shirt is walking down a bench in front of a building,a boy in black pants and green tshirt jumps high with his skateboard ||| a guy on a skateboard jumping off some steps ||| a person in a green shirt on a skateboard jumping off of a short set of stairs ||| a skateboarder in a green shirt is taking a jump of a step in front of a pink building ||| he is in the air on his skateboard,0.239598497162785,0.4872738569974899,0.6458464806842646,0.4497097658590147,0.3005207039467559,0.2104428180131085,0.5124408892031644,0.6285714285714286
