case_type,image,generated_caption,references,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr,CLIPScore,polos,traditional_score,semantic_score,group_disagreement
Semantic High / Traditional Low,3430526230_234b3550f6.jpg,a black dog is running in the grass,the dogs run through the field near the water ||| two black dogs are chasing each other through shallow grass toward water ||| two dogs are running towards the water through brown grass ||| two dogs are running toward the water ||| two dogs run two a pond on a winter day,0.625,0.0944911182523068,0.0529919916474163,0.0415350923720639,0.2203065134099616,0.4444444444444445,0.3696276606066869,0.8234146237373352,0.7221712470054626,0.2023060173557765,0.8268219751005057,0.6245159577447291
Semantic High / Traditional Low,2744600462_5804577296.jpg,a group of people are riding bicycles on a track,a cyclist donning blue and white is leading a pack of cyclists ||| a large column of bicyclists is cycling down a road ||| a pack of bicycle road racers lean through a curve ||| a pack of bicyclists taking a turn during a race ||| cyclists competing in a race are coming around a bend in the road,0.4,0.0666666666666666,0.0381571414184444,0.0298474589600982,0.2,0.4000000000000001,0.0177581608138165,0.770147517323494,0.6539490818977356,0.1387835243743687,0.7444439371945308,0.6056604128201621
Semantic High / Traditional Low,1057089366_ca83da0877.jpg,a boy jumps into a pool,a boy descends off the end of a high diving board ||| a child jumps off a high diving board into the pool ||| a kid jumps off the diving board and into the swimming pool below ||| a little kid is jumping off a high dive at the pool ||| the boy is jumping off a high diving board into the pool,0.4345982085070782,0.1943582274242909,0.0743152483015887,0.0493798901137822,0.2433862433862433,0.4705882352941177,0.508176763685314,0.7952246069908142,0.7306544780731201,0.2043896646848035,0.8094791919596551,0.6050895272748515
Semantic High / Traditional Low,2100046085_69b59b6645.jpg,a white dog is running in the water,two dogs drink water in a lake ||| two white dogs are drinking water out of a lake ||| two white dogs drink from the lake ||| two white dogs drinking out of a stream ||| two white dogs walk around in shallow water,0.625,0.0944911182523068,0.0529919916474163,0.0415350923720639,0.39453125,0.5,0.3697850138740242,0.8806536346673965,0.6659210920333862,0.2375190501626931,0.8390579156953542,0.601538865532661
Semantic High / Traditional Low,3038760935_9a713510eb.jpg,a dog is playing in a yard,the two dogs are jumping ||| two brown and white dogs racing across a lawn ||| two brown and white dogs running across grass ||| two dogs run together across a grassy lawn ||| two small white and brown dogs bound in unison,0.2476793999286233,0.0598202582772634,0.0395878119063259,0.0340522339563737,0.189873417721519,0.2666666666666666,0.0003484039721063,0.7572941482067108,0.5492995977401733,0.0926607847617829,0.6726412293092384,0.5799804445474555
Traditional High / Semantic Low,2034553054_b00c166895.jpg,a man sitting on a table with a man in a blue shirt,a boy with a blue hat points towards a bowl full of cork ||| a child in medieval clothes points at something on a table ||| a child in period costume looking at a table with a bowl cup and a basket of apples ||| a young boy next to apples at a medieval fair ||| the child is sitting at the table with art supplies and apples,0.7692307692307693,0.5661385170722979,0.4438041154503415,0.3057690288450511,0.3626822157434402,0.3870967741935484,0.7842725620660235,0.4003302752971649,0.160225823521614,0.4130521606721177,0.1606966745052488,-0.2523554861668688
Traditional High / Semantic Low,3315616181_15dd137e27.jpg,a man in a blue shirt is sitting on a bench,a man in a green shirt climbs an indoor climbing wall ||| a man in a green shirt is climbing an obstacle course ||| a teenage boy climbs an indoor climbing wall ||| a teenager climbs a rock wall ||| someone climbs an indoor climbing wall,0.5454545454545454,0.4670993664969138,0.3646436717285792,0.2790159393585827,0.4646464646464646,0.5454545454545454,0.3169005506892755,0.4361654072999954,0.0979128926992416,0.3744416544993707,0.1524024517531416,-0.2220392027462291
Traditional High / Semantic Low,2356574282_5078f08b58.jpg,a man in a black shirt is holding a picture,a arabian dressed lady leans backwards holding a skinny crooked sword ||| a costumed woman with a sword does a backbend ||| a woman bending over backwards ||| a woman in a belly dancing outfit bending over backwards ||| a woman in a dance costume is bending over backward and holding a sword,0.6,0.3651483716701106,0.1185631101496687,0.0698534205658009,0.3758169934640523,0.5,0.1057826582455283,0.3467882424592972,0.0868090167641639,0.2748080020626642,0.0750421751721154,-0.1997658268905487
Traditional High / Semantic Low,2460797929_66446c13db.jpg,a group of people are playing on a park,a group of boys are wearing yellow life vests and are on a makeshift raft ||| a group of people on a boat ||| boys in life jackets on a watercraft ||| several young people in life jackets are sitting on something floating in water ||| the boys in life jackets smile and laugh while riding in a boat,0.7777777777777778,0.6236095644623236,0.4807498567691361,0.3688939732334405,0.8179012345679012,0.75,0.5950989100734645,0.5866555497050285,0.2732953131198883,0.5567691124795556,0.3749159130857157,-0.1818531993938398
Traditional High / Semantic Low,3673970325_4e025069e9.jpg,a man in a red shirt is standing on a store,a girl in a white shirt kneeling down lighting a candle ||| a girl is amid many candle lanterns ||| a girl kneels down by a rows of candles ||| a young girl kneels beside rows of candles while others walk by ||| young girl kneels on a grassy field filled with candles,0.6363636363636364,0.3567530340063378,0.1122442959954951,0.0648411507139764,0.3381818181818182,0.4545454545454545,0.0409246818885053,0.3662280738353729,0.1251493841409683,0.2624748286725198,0.1130211091549593,-0.1494537195175604
Strong Agreement,2552949275_b8cdc450cc.jpg,a dog is jumping into the water,a brown dog jumping into the beach ||| a dog at the beach jumping into the water with a rock breaker in the background ||| a dog jumping into the water ||| a large brown dog is jumping into the ocean ||| dog jumping in the sea,1.0,1.0,0.9283177667225558,0.8801117367933934,0.9653916211293262,0.923076923076923,3.3390555657035312,0.8676611632108688,0.8569304347038269,0.92319052038993,0.9412291979459316,0.0180386775560016
