image,original_caption
2224995194_518859d97d.jpg,the rock climbers are on their equipment in front of a cave
3168123064_d1983b8f92.jpg,a person in a black wetsuit is surfing in the ocean with a wave coming down
2441629086_52f68eb316.jpg,a girl is peeking in a window
3279524184_d5e2ffbaed.jpg,two black and white dogs and one has something blue in its mouth
3339105374_cc41e0b7d7.jpg,a woman in a red coat with a man in a white and black coat and a black dog in the snow
2272750492_91e8f67328.jpg,a man jumps through the air while snowboarding
2021671653_567395c7cf.jpg,a boy dressed in denim is running on the sidewalk
416960865_048fd3f294.jpg,a hiker in a red on a snowy peak
3474406285_01f3d24b71.jpg,a brown dog jumping over a blue and yellow stick
3690348036_a01f243fb0.jpg,a bmx biker is in midair attempting a trick
2746839158_4195210d27.jpg,children playing outside in a fountain
989754491_7e53fb4586.jpg,a girl in a pool wearing goggles and surrounded by other children
3638178504_be1ff246bd.jpg,a little girl is looking at the two horses on the other side of the fence
3472270112_0a7cb7b27c.jpg,a baseman and a ballplayer from the opposing team sliding onto base
3464871350_3f2d624a9c.jpg,a driver is sitting in a team penske race car
493542985_c85ad29ebe.jpg,a girl is rowing in a lake
2303016989_0deb96c8d9.jpg,a black and white dog is catching a red and green object in his mouth
540604040_bec822c144.jpg,a girl sliding down a pole
2735979477_eef7c680f9.jpg,a tan dog and larger white dog run along the grass
2053441349_a98b5fc742.jpg,a dog in a field of colorful flowers
244910177_7c4ec3f65b.jpg,three woman walk down a city street and one has a pink purse
2290589734_b588471345.jpg,one boy in a black shirt is grabbing the flag of the boy in the red shirt with the football
3685373706_37f2ced9ff.jpg,a man is shirtless and is covered in red marks
382701159_f98c1988cd.jpg,a man fishes in the ocean
3053415073_5b667230ed.jpg,a person on skis on a rail at night
1287475186_2dee85f1a5.jpg,a boy sitting in water
769260947_02bc973d76.jpg,a dog stands shoulder deep in muddy water
3375134059_7e9eb2ef01.jpg,one dog on the ground and another dog standing above it
494329594_6e751372a0.jpg,a black woman in a pink bikini is sitting on a towel on a lounge chair
599366440_a238e805cf.jpg,a black and white dog has pinned a brown dog to the ground in front of a wishing well
3182258223_5b9c8a8c55.jpg,a woman in shadow looks at the camera while the one in the sun looks at a book
380041023_0dfd712ef1.jpg,a brown and black dog runs through the leaves
1000268201_693b08cb0e.jpg,a child in a pink dress is climbing up a set of stairs in an entry way
3669564923_8fcb1a6eff.jpg,the girls are both eating and the girl wearing the color red has cake icing on her upper lip
2952320230_26601173be.jpg,a female tennis player swings for the ball
3600403707_527aa0596e.jpg,a garden shop is being perused by shoppers with a sitting shop owner waving
3256043809_47258e0b3e.jpg,a brown and white dog is sniffing the snow covered ground
3481859121_3d3e566ec0.jpg,a group of people sitting on a sidewalk
3482237861_605b4f0fd9.jpg,a boy is riding a scooter down the concrete path
3429465163_fb8ac7ce7f.jpg,a child in a red and grey coat in front of a wooden shed
3150315970_8f045c41a4.jpg,a couple leaning over a concrete railing inside of a building
292780636_72e1968949.jpg,a man in a black coat and hat sits by an old building
766061382_6c7ff514c4.jpg,a bare chested smiling child plays in water
2630806789_6835bbae95.jpg,an orange canoe aimed toward two other canoes on a lake
3128514681_a51b415c31.jpg,two ladies wearing dresses pose on the side of the road at night
2242863004_3a9f82a31f.jpg,a dog attempting to chew on a red ball
3304030264_da3dd18c7b.jpg,a boy in black pants and green tshirt jumps high with his skateboard
2431120202_b24fe2333a.jpg,a girl crosscountry skis
1419286010_b59af3962a.jpg,a fisherman is reeling his rod while another relaxes in a boat on water
370614351_98b8a166b9.jpg,a man with a mohawk with his arms in the air
811662356_f9a632b63c.jpg,a child stands near a fence
3547499166_67fb4af4ea.jpg,the three people are dancing on a wood floor in kitchen clothing
3682277595_55f8b16975.jpg,a brown and white dog trots across shallow water with his mouth open
2528547068_7d37479b9b.jpg,a race car drives through a dirtcovered racetrack
289599470_cc665e2dfb.jpg,a black haired girl is eating corn on the cob
3613705104_46d854134e.jpg,a boy skateboards off a ramp covered in graffiti
3232470286_903a61ea16.jpg,a ball is about to enter a goal at a soccer match
2115631346_9585a479b0.jpg,two brown dogs are running through the snow
1721637099_93e9ec2a2f.jpg,a boy laying on clothes
516725192_c9cdd63878.jpg,a fisherman stands on the beach on a gray day
848180689_d67a1361ce.jpg,a girl and a woman playing with a ball in a pool
3678100844_e3a9802471.jpg,a lady with sunglasses on her head and a green sweatshirt is looking off camera
3157847991_463e006a28.jpg,these men are smoking outside a grey building
3559374748_f18c7caa55.jpg,a blue and grey race car driving on a dirt track
2502782508_2c8211cd6b.jpg,a man in a hat and sunglasses reads a book on a park bench
3699522388_2333f01f40.jpg,a bald man in a black wetsuit flips leaps in the air on a surfboard holds on to a waterskiing handle
2774554310_007e980a90.jpg,a woman dressed in black and pink has a large tattoo on her back
3424927725_c4d1fcfac3.jpg,a man in yellow sits on a rock ledge overlooking a forest
3160531982_37f5636b8a.jpg,a parachute is making his landing as the sunsets behind him
3118534315_cc03e5ddab.jpg,a man is recording something with a red flag behind him
973827791_467d83986e.jpg,a little kid splashes around in the kiddie pool while a lady watches
1110208841_5bb6806afe.jpg,a black and white border collie catches a frisbee in front of an audience
3052038928_9f53aa2084.jpg,a group of five young adults lounging indoors
308014594_f1d5e75507.jpg,two japanese girls are wearing traditional dress
957682378_46c3b07bcd.jpg,a brown dog and a black dog run into each other in the grass
3265964840_5374ed9c53.jpg,a boy on a snowboard leaps through the air
2049051050_20359a434a.jpg,a girl in a black jacket and hat is covered in a pink blanket
3350786891_6d39b234e9.jpg,a group of dark skinned children are sitting beside a red metal container
2701603045_6cbdc4ce7c.jpg,a boy is wading through water
1287931016_fb015e2e10.jpg,a black and a white dog on the snow
2518508760_68d8df7365.jpg,a dog in a yellow jersey is running a race
3455757720_7aeba57056.jpg,a brown dog running along the dirt shore of a stream
3652572138_34d6b72999.jpg,a boy jumps
1075881101_d55c46bece.jpg,a boy cleans the bubbles off his face
3695949492_27ca3892fd.jpg,two dogs holding opposite ends of a toy with their mouths swimming
3496028495_431cfdc042.jpg,a brown dog swimming in the water with a tennis ball in his mouth
3134644844_493eec6cdc.jpg,a man is playing a guitar for a little girl in a hospital
3242808166_8638150274.jpg,a bike rider in red rides through the trees down a snowy hill
2206960564_325ed0c7ae.jpg,a beige puppy walks across the floor
2886411666_72d8b12ce4.jpg,a black brown and white dog is running beside a green fence in a grassy garden
3225998968_ef786d86e0.jpg,a man on skis on a snowcovered hill with mountains in the background
136639119_6040b00946.jpg,a climber is attempting to climb around an overhang above the woods
61209225_8512e1dad5.jpg,a civil war reenactment with cannon teams firing cannons
1057089366_ca83da0877.jpg,a boy descends off the end of a high diving board
3066491113_86569e15be.jpg,a black dog is following a brown dog that is carrying a brown plate through a grassy field
3608663656_9192a21eeb.jpg,a man climbs up the side of a steep rock that overlooks a river
3275537015_74e04c0f3e.jpg,four girls are playing volleyball on a sandy beach near ocean
1457762320_7fe121b285.jpg,a group of bicyclists getting ready for a ride
2407091303_931c918490.jpg,a child plays at a playground
2164363131_6930455d45.jpg,a dog leaps for a toy on a road
