image,perturbation_type,original_caption,perturbed_caption,references,reference_count
2224995194_518859d97d.jpg,original,the rock climbers are on their equipment in front of a cave,the rock climbers are on their equipment in front of a cave,two people hang from safety ropes over a giant cliff ||| two people hanging on a rope over a cliff ||| two people lower themselves into a cave with long ropes ||| two people repel down into a hole,4
2224995194_518859d97d.jpg,hallucination,the rock climbers are on their equipment in front of a cave,the rock climbers are on their equipment in front of a cave with a helicopter,two people hang from safety ropes over a giant cliff ||| two people hanging on a rope over a cliff ||| two people lower themselves into a cave with long ropes ||| two people repel down into a hole,4
3168123064_d1983b8f92.jpg,original,a person in a black wetsuit is surfing in the ocean with a wave coming down,a person in a black wetsuit is surfing in the ocean with a wave coming down,a person is surfing ||| a surfer in all black is riding a wave ||| a surfer rides the waves ||| a woman in a black wetsuit surfs in bad weather,4
3168123064_d1983b8f92.jpg,action_replacement,a person in a black wetsuit is surfing in the ocean with a wave coming down,a person in a black wetsuit is swimming in the ocean with a wave coming down,a person is surfing ||| a surfer in all black is riding a wave ||| a surfer rides the waves ||| a woman in a black wetsuit surfs in bad weather,4
3168123064_d1983b8f92.jpg,negation,a person in a black wetsuit is surfing in the ocean with a wave coming down,a person in a black wetsuit is not surfing in the ocean with a wave coming down,a person is surfing ||| a surfer in all black is riding a wave ||| a surfer rides the waves ||| a woman in a black wetsuit surfs in bad weather,4
3168123064_d1983b8f92.jpg,hallucination,a person in a black wetsuit is surfing in the ocean with a wave coming down,a person in a black wetsuit is surfing in the ocean with a wave coming down with a helicopter,a person is surfing ||| a surfer in all black is riding a wave ||| a surfer rides the waves ||| a woman in a black wetsuit surfs in bad weather,4
2441629086_52f68eb316.jpg,original,a girl is peeking in a window,a girl is peeking in a window,a girl peers into a window ||| a girl peers into a window ||| a little girl is trying to look into a dark window ||| a small girl in a pink shirt and blue jeans is peeping through a window into a house,4
2441629086_52f68eb316.jpg,person_replacement,a girl is peeking in a window,a boy is peeking in a window,a girl peers into a window ||| a girl peers into a window ||| a little girl is trying to look into a dark window ||| a small girl in a pink shirt and blue jeans is peeping through a window into a house,4
2441629086_52f68eb316.jpg,negation,a girl is peeking in a window,a girl is not peeking in a window,a girl peers into a window ||| a girl peers into a window ||| a little girl is trying to look into a dark window ||| a small girl in a pink shirt and blue jeans is peeping through a window into a house,4
2441629086_52f68eb316.jpg,hallucination,a girl is peeking in a window,a girl is peeking in a window with a suitcase,a girl peers into a window ||| a girl peers into a window ||| a little girl is trying to look into a dark window ||| a small girl in a pink shirt and blue jeans is peeping through a window into a house,4
